lgID,yearID,total_runs_allowed,total_outs,ERA,DH_allowed
AL,1985,10317,60552,4.600326991676575,DH
NL,2012,11037,69211,4.305659504991981,No DH
AL,1979,10527,60155,4.724943894938076,DH
NL,1927,5657,33023,4.625230899675984,No DH
AL,1999,11853,60230,5.313481653660967,DH
AL,1962,7183,43545,4.453806407165001,No DH
NA,1872,3390,9858,9.284844796104686,No DH
NL,1977,8556,52545,4.39646017699115,No DH
AL,2008,10609,60667,4.721561969439729,DH
AL,1935,6219,32739,5.128837166681938,No DH
NL,1887,6179,26623,6.266498891935544,No DH
AL,1912,5480,32800,4.510975609756098,No DH
AL,1993,10674,60667,4.7504903819209785,DH
NL,1931,5538,32888,4.546521527608854,No DH
AL,1975,8281,51821,4.31460218830204,DH
NL,2006,12558,69411,4.884902969270001,No DH
AL,1949,5776,32823,4.7513024403619415,No DH
AA,1882,2435,12320,5.336444805194805,No DH
NL,1925,6196,32573,5.135910109599975,No DH
NL,1985,7899,52424,4.068232107431711,No DH
AL,1981,6112,40379,4.0868768419227814,DH
NL,2005,11709,69157,4.571381060485562,No DH
AL,1925,6393,32927,5.242232818052054,No DH
NL,1986,8096,52413,4.170568370442448,No DH
NL,1992,7539,52502,3.8770523027694184,No DH
NL,2024,10813,64732,4.510149539640363,DH
NL,1940,5424,33281,4.400348547219134,No DH
NL,2016,10888,65086,4.516731708816028,No DH
NL,2013,9819,65542,4.044933020048213,No DH
AL,1992,9802,60987,4.339514978601997,DH
AL,1929,6141,32748,5.063118358373031,No DH
AL,1966,6276,43478,3.897419384516307,No DH
AL,1913,4825,32818,3.969620330306539,No DH
AL,1916,4600,33867,3.667286739303747,No DH
AL,2020,4159,23338,4.8115948238923645,DH
AL,1958,5159,33072,4.2118105950653115,No DH
NL,1926,5606,32904,4.600109409190372,No DH
AL,1987,11112,60587,4.9519533893409475,DH
NL,1902,4494,29981,4.047163203362129,No DH
AL,1989,9732,60543,4.340121896833655,DH
AL,1921,6291,33060,5.137840290381125,No DH
NL,2023,11322,64529,4.737311906274699,DH
AL,1947,5161,33228,4.193661971830986,No DH
NL,1876,3066,14218,5.822337881558588,No DH
NL,2011,10772,69732,4.1708828084667005,No DH
AL,2021,11141,64048,4.6965869347989,DH
AL,1908,4284,33433,3.459695510423833,No DH
AL,1919,4609,30143,4.128421192316624,No DH
AL,1955,5491,33080,4.48177146311971,No DH
AL,2006,11041,60363,4.938571641568511,DH
AL,1956,5756,33095,4.695935941985194,No DH
NL,1956,5275,33190,4.291202169328111,No DH
AL,1991,10172,61146,4.491610244333235,DH
NL,1978,7742,52000,4.0198846153846155,No DH
AL,1950,6253,32889,5.133357657575481,No DH
AL,1968,5532,43660,3.4210719193770043,No DH
AL,1974,7976,52346,4.11401062163298,DH
AL,1904,4433,33253,3.5994045650016537,No DH
NL,1960,5250,33361,4.248973352117742,No DH
AL,1940,6146,32874,5.047818945062968,No DH
AL,1954,5203,33315,4.216749212066636,No DH
AA,1885,4885,23752,5.5530060626473565,No DH
NL,1955,5578,32953,4.570327436045277,No DH
AL,1990,9746,60547,4.3460782532578,DH
NL,2014,9709,65445,4.005546642218657,No DH
AL,1918,3703,27661,3.614511405950617,No DH
NA,1875,4234,18571,6.155726670615476,No DH
AL,1970,8109,52341,4.1830114059723735,No DH
NL,1889,6203,27918,5.999032882011606,No DH
AL,2011,10036,60850,4.453114215283484,DH
AL,1976,7753,52405,3.994485259040168,DH
AL,1944,5058,33511,4.0752588702217185,No DH
NL,1883,4565,20869,5.906128707652499,No DH
NL,2007,12388,69742,4.795904906655961,No DH
NA,1871,2659,6750,10.636,No DH
NL,1899,9672,47665,5.478737018776881,No DH
AL,1939,6404,32631,5.298887560908339,No DH
AL,1932,6429,33014,5.257860301690192,No DH
NL,1976,7739,52372,3.989784617734667,No DH
AL,1994,8330,42689,5.268570357703389,DH
NL,2020,4185,23068,4.898344026356858,DH
NL,1922,6193,33106,5.050776294327312,No DH
NL,1879,3409,17391,5.2925651198895975,No DH
AL,1920,5874,33113,4.789599251049437,No DH
AL,2003,11061,60675,4.922076637824475,DH
NL,1957,5426,33653,4.353311740409474,No DH
NL,2022,10602,64550,4.434608830364058,DH
AL,1965,6388,43618,3.9542390756109858,No DH
AL,1917,4522,33690,3.624042742653606,No DH
AL,1946,5037,33186,4.0980835291990605,No DH
NL,1968,5577,44043,3.418908793678905,No DH
NL,1894,11796,41494,7.675615751674941,No DH
NL,1934,5688,32419,4.73722199944477,No DH
AL,2023,11110,64733,4.633957950349899,DH
AL,2018,11075,64982,4.60165892093195,DH
NL,1930,7028,32849,5.776614204389784,No DH
NL,1932,5676,33365,4.593196463359808,No DH
NL,1928,5745,33082,4.688803578985551,No DH
NL,1961,5600,33080,4.570737605804111,No DH
AL,1951,5716,33163,4.653740614540301,No DH
NL,1947,5669,32902,4.652088018965412,No DH
