lgID,yearID,Total_1B,Total_2B,Total_3B,Total_HR,Total_AB,Slugging_Pct,DH_allowed
NL,2013,20768,4039,424,2157,82690,0.4685693554238723,No DH
NA,1874,5224,634,194,40,19104,0.3786641541038526,No DH
NL,1949,11207,1865,370,935,42711,0.4632764393247641,No DH
AL,1928,11835,2202,620,483,42144,0.4752989749430524,No DH
AL,1955,10802,1574,338,961,41817,0.4497692326087476,No DH
NL,1954,11142,1816,403,1114,42027,0.48633021628952816,No DH
AL,1929,11974,2229,597,595,42180,0.4884542437174016,No DH
NL,1882,6225,1071,404,126,24769,0.40708143243570594,No DH
AL,1963,13609,2114,352,1489,55011,0.4517096580683863,No DH
AL,1961,14037,2226,404,1534,54904,0.47058502112778666,No DH
AL,1996,21922,4205,421,2742,79090,0.5381590592995322,DH
AL,1938,11935,2133,485,864,42500,0.49675294117647056,No DH
AL,1914,10085,1435,598,148,40743,0.37653093782981123,No DH
NL,1915,10140,1555,572,225,40888,0.38803560946977106,No DH
NL,1964,14032,2161,427,1211,55284,0.44278633962810215,No DH
NL,1984,16842,2770,451,1278,65919,0.4376128278645004,No DH
AL,1968,12359,1874,338,1104,53709,0.40099424677428364,No DH
NL,1961,11029,1749,350,1196,42128,0.4833127611090011,No DH
AL,1974,17062,2564,400,1369,66044,0.4370722548603961,DH
AL,2012,19780,3808,369,2500,77437,0.4972170926043106,DH
NL,1934,11996,2108,433,656,42982,0.4684519101019031,No DH
AL,1945,10634,1674,392,430,41624,0.40548721891216605,No DH
AL,1917,10075,1477,533,133,40670,0.37275633144824194,No DH
AL,1915,10005,1409,617,160,40304,0.37996228662167525,No DH
AL,2013,21325,4183,348,2504,83380,0.48873830654833295,DH
NL,1976,16778,2652,499,1113,65814,0.42591241984988,No DH
NL,1965,13794,2122,422,1318,55377,0.4437943550571537,No DH
NL,1884,8071,1216,425,321,32687,0.39960840701196193,No DH
NL,1939,11505,2032,418,649,42285,0.4592408655551614,No DH
AA,1882,4108,545,219,52,16853,0.35975790660416546,No DH
AL,1941,11492,2066,508,734,43125,0.46571594202898553,No DH
AL,1984,20539,3443,534,1980,77910,0.4742266718007958,DH
NL,1959,11015,1788,324,1159,42330,0.4771793054571226,No DH
AL,1936,12657,2400,548,758,43747,0.505931835325851,No DH
NL,1955,10808,1677,362,1263,41773,0.485959830512532,No DH
NL,1902,9899,1172,414,96,38275,0.3623514043109079,No DH
AL,1935,12033,2212,525,663,42999,0.48103444266145723,No DH
NL,1892,15643,2007,1010,417,63876,0.381285615880769,No DH
AL,1985,20182,3562,528,2178,77257,0.4867131780938944,DH
NL,1927,11935,1888,540,483,42344,0.454916871339505,No DH
NL,1971,16590,2505,457,1379,65903,0.43225649818672895,No DH
NL,1953,11342,1777,414,1197,42639,0.49077135955346046,No DH
AL,1969,16120,2385,378,1649,65536,0.43670654296875,No DH
NL,2011,22263,4394,487,2281,88119,0.47249741826393854,No DH
NL,1893,15913,2197,1047,460,56898,0.4444444444444444,No DH
AL,1921,12516,2142,694,477,42796,0.48579306477240863,No DH
NL,2019,20885,4213,400,3298,83094,0.5259465184008473,No DH
AL,2007,21181,4299,433,2252,78294,0.5119932561882137,DH
AL,1998,21276,4248,408,2499,78416,0.5227504590899816,DH
NL,1951,11088,1746,367,1024,42704,0.4631182090670663,No DH
NL,1911,10675,1642,682,316,41107,0.4200987666334201,No DH
NA,1873,4926,570,211,47,16959,0.40609705760952886,No DH
AL,1988,19967,3558,425,1901,77005,0.46700863580286994,DH
AA,1889,10184,1493,618,296,38940,0.4162300975860298,No DH
AL,2020,7194,1421,115,1143,29631,0.5046404103810199,DH
AL,1911,11239,1623,641,198,41154,0.41794236283228847,No DH
AL,1942,10785,1797,400,533,41955,0.42214277201763795,No DH
NL,2007,23796,4898,505,2705,89489,0.5132139145593313,No DH
AL,1970,16404,2492,373,1746,65675,0.4490445374952417,No DH
NL,1925,12495,2120,614,636,42859,0.49280197858092817,No DH
NL,1891,9844,1388,610,294,38998,0.40068721472896046,No DH
AL,2001,20852,4200,440,2506,78134,0.5195689456574603,DH
NL,1917,10316,1432,605,202,41385,0.3818533285006645,No DH
